50
75
0 1 2
1 2 10
2 3 5
3 4 15
4 5 12
5 6 4
6 7 15
7 8 20
8 9 16
9 10 20
10 11 1
11 12 17
12 13 14
13 14 19
14 15 12
15 16 20
16 17 18
17 18 14
18 19 13
19 20 6
20 21 2
21 22 4
22 23 4
23 24 13
24 25 5
25 26 4
26 27 6
27 28 17
28 29 16
29 30 5
30 31 13
31 32 20
32 33 17
33 34 9
34 35 19
35 36 6
36 37 13
37 38 3
38 39 2
39 40 19
40 41 2
41 42 6
42 43 2
43 44 6
44 45 10
45 46 9
46 47 3
47 48 17
48 49 20
6 37 2
6 39 15
41 46 11
21 33 15
10 8 3
49 20 2
37 17 12
46 11 20
4 35 4
19 31 12
45 27 2
30 26 20
49 5 12
8 41 3
42 46 5
36 19 4
44 34 14
28 37 2
9 0 4
47 1 11
7 45 18
31 16 15
21 24 3
45 2 3
45 13 13
12 43 19
